StockCode,Description,QuantityTotal,QuantityAvg,QuantityStd,N_NonZeroDemandPeriods,MinWeek,MaxWeek,N_DemandPeriods,ADI,COV2,demand_type
15056bl,EDWARDIAN PARASOL BLACK,87,2.289473684210526,1.4502170338382834,38,201048,201149,102,2.6842105263157894,0.6334281297224686,Lumpy
15056n,EDWARDIAN PARASOL NATURAL,127,3.2564102564102564,2.6429444178191703,39,201049,201148,100,2.5641025641025643,0.8116128527161232,Lumpy
15056p,EDWARDIAN PARASOL PINK,33,1.65,0.9880869341680842,20,201048,201149,102,5.1,0.5988405661624754,Lumpy
15058A,BLUE POLKADOT GARDEN PARASOL,185,5.78125,7.434593834492303,32,201049,201147,99,3.09375,1.2859837983986686,Lumpy
15058B,PINK POLKADOT GARDEN PARASOL,162,5.785714285714286,15.134843641858083,28,201049,201146,98,3.5,2.615898901061891,Lumpy
15058C,ICE CREAM DESIGN GARDEN PARASOL,210,7.777777777777778,15.212174611483276,27,201105,201149,45,1.6666666666666667,1.955851021476421,Lumpy
15060B,FAIRY CAKE DESIGN UMBRELLA,407,9.044444444444444,14.425286440445086,45,201048,201146,99,2.2,1.5949333902212013,Lumpy
15060b,FAIRY CAKE DESIGN UMBRELLA,3,1.0,0.0,3,201138,201146,9,3.0,0.0,Intermitent
16008,SMALL FOLDING SCISSOR(POINTED EDGE),1382,44.58064516129032,293.5373655026504,31,201049,201149,101,3.2580645161290325,6.584412684936442,Lumpy
16010,FOLDING CAMPING SCISSOR W/KNIF & S,23,7.666666666666667,7.505553499465136,3,201048,201113,66,22.0,0.9789852390606698,Lumpy
16011,ANIMAL STICKERS,1773,59.1,58.05725473690783,30,201048,201149,102,3.4,0.982356256123652,Lumpy
16012,FOOD/DRINK SPONGE STICKERS,1244,51.833333333333336,45.07642463606685,24,201048,201149,102,4.25,0.8696416328501642,Lumpy
16014,SMALL CHINESE STYLE SCISSOR,13328,429.93548387096774,818.0628311437482,31,201048,201149,102,3.2903225806451615,1.9027571852833278,Lumpy
16015,MEDIUM CHINESE STYLE SCISSOR,373,17.761904761904763,29.973162599073127,21,201049,201146,98,4.666666666666667,1.6874970900282458,Lumpy
16016,LARGE CHINESE STYLE SCISSOR,1273,34.4054054054054,41.000311285714965,37,201048,201149,102,2.7567567567567566,1.191682260464614,Lumpy
16020C,CLEAR STATIONERY BOX SET ,77,9.625,13.244270998651238,8,201109,201130,22,2.75,1.3760281557040248,Lumpy
16033,MINI HIGHLIGHTER PENS,960,240.0,240.0,4,201049,201107,59,14.75,1.0,Lumpy
16045,POPART WOODEN PENCILS ASST,4333,144.43333333333334,688.6783786321466,30,201051,201149,99,3.3,4.768140170543364,Lumpy
16046,TEATIME PEN CASE & PENS,89,6.846153846153846,8.924182071261525,13,201048,201148,101,7.769230769230769,1.303532212656178,Lumpy
16048,TEATIME ROUND PENCIL SHARPENER ,1461,44.27272727272727,45.59144158122822,33,201049,201149,101,3.0606060606060606,1.0297861548121363,Lumpy
16049,TEATIME GEL PENS ASST,547,136.75,248.18457513176224,4,201117,201129,13,3.25,1.8148780631207477,Lumpy
16052,TEATIME PUSH DOWN RUBBER,463,51.44444444444444,115.09681914708928,9,201049,201123,75,8.333333333333334,2.2373031799650183,Lumpy
16054,POPART RECT PENCIL SHARPENER ASST,1058,52.9,37.90556131951311,20,201049,201148,100,5.0,0.7165512536769965,Lumpy
16151A,FLOWERS HANDBAG blue and orange,47,15.666666666666666,21.962088546705512,3,201119,201121,3,1.0,1.4018354391514158,Eratic
16156L,WRAP CAROUSEL,475,27.941176470588236,12.126781251816649,17,201101,201148,48,2.823529411764706,0.43401111848606955,Intermitent
16156S,WRAP PINK FAIRY CAKES ,5690,116.12244897959184,130.911330145806,49,201048,201149,102,2.0816326530612246,1.1273559186545683,Lumpy
16161G,WRAP BAD HAIR DAY,700,41.1764705882353,21.54424312350531,17,201111,201147,37,2.176470588235294,0.5232173329994146,Lumpy
16161P,WRAP ENGLISH ROSE ,7201,144.02,95.51289901134308,50,201048,201149,102,2.04,0.6631919109244763,Lumpy
16161U,WRAP SUKI AND FRIENDS,4050,86.17021276595744,84.50760684797044,47,201048,201148,101,2.148936170212766,0.9807055609517557,Lumpy
16168M,FUNKY MONKEY GIFT BAG MEDIUM,415,14.310344827586206,14.969262431195139,29,201048,201149,102,3.5172413793103448,1.0460448445895398,Lumpy
16169E,WRAP 50'S  CHRISTMAS,4125,196.42857142857142,173.61899994775095,21,201129,201149,21,1.0,0.8838785451885504,Eratic
16169K,WRAP FOLK ART,175,21.875,20.863074009907006,8,201049,201139,91,11.375,0.9537405261671774,Lumpy
16169M,WRAP DAISY CARPET ,660,28.695652173913043,8.688732424597106,23,201101,201148,48,2.0869565217391304,0.30278916025111124,Intermitent
16202A,PASTEL PINK PHOTO ALBUM ,7,3.5,0.7071067811865476,2,201110,201115,6,3.0,0.20203050891044216,Intermitent
16202B,PASTEL BLUE PHOTO ALBUM ,20,10.0,7.0710678118654755,2,201115,201116,2,1.0,0.7071067811865476,Eratic
16202E,BLACK PHOTO ALBUM ,14,4.666666666666667,6.658328118479393,3,201049,201115,67,22.333333333333332,1.4267845968170128,Lumpy
16206B,RED PURSE WITH PINK HEART,7,3.5,2.1213203435596424,2,201051,201104,54,27.0,0.6060915267313264,Lumpy
16207A,PINK STRAWBERRY HANDBAG ,63,3.3157894736842106,2.6885070532618274,19,201050,201146,97,5.105263157894737,0.8108195874916622,Lumpy
16207B,PINK HEART RED HANDBAG,29,2.230769230769231,2.385855756810896,13,201102,201137,36,2.769230769230769,1.0695215461566085,Lumpy
16216,LETTER SHAPE PENCIL SHARPENER,3333,133.32,320.32154678281216,25,201049,201149,101,4.04,2.402651866057697,Lumpy
16218,CARTOON  PENCIL SHARPENERS,3821,123.25806451612904,128.60714540593133,31,201048,201149,102,3.2903225806451615,1.0433974110400082,Lumpy
16219,HOUSE SHAPE PENCIL SHARPENER,3000,81.08108108108108,129.34222013677478,37,201049,201149,101,2.72972972972973,1.5952207150202224,Lumpy
16225,RATTLE SNAKE EGGS,815,25.46875,46.73810656026525,32,201048,201149,102,3.1875,1.8351158404030528,Lumpy
16235,RECYCLED PENCIL WITH RABBIT ERASER,3103,63.326530612244895,102.67208882227563,49,201048,201149,102,2.0816326530612246,1.62131239197277,Lumpy
16236,KITTY PENCIL ERASERS,1438,32.68181818181818,30.554391247811058,44,201048,201149,102,2.3181818181818183,0.9349048782362216,Lumpy
16237,SLEEPING CAT ERASERS,4934,94.88461538461539,83.60989101966202,52,201048,201149,102,1.9615384615384615,0.8811743682655907,Lumpy
16238,PARTY TIME PENCIL ERASERS,1398,29.125,27.651035916110676,48,201048,201149,102,2.125,0.9493917911110962,Lumpy
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,2,0.6666666666666666,4.932882862316247,3,201117,201121,5,1.6666666666666667,7.399324293474371,Lumpy
16248B,BLUE HOLE PUNCH,15,2.5,2.258317958127243,6,201110,201143,34,5.666666666666667,0.9033271832508971,Lumpy
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,35,2.3333333333333335,4.466808810815721,15,201114,201148,35,2.3333333333333335,1.9143466332067374,Lumpy
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,471,17.444444444444443,31.37040905220338,27,201048,201149,102,3.7777777777777777,1.7983037036294933,Lumpy
16259,PIECE OF CAMO STATIONERY SET,105,5.526315789473684,747.2199117336396,19,201111,201145,35,1.8421052631578947,135.21122212323002,Lumpy
17003,BROCADE RING PURSE ,23053,461.06,464.94372755842005,50,201048,201149,102,2.04,1.0084234753793868,Lumpy
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,20,10.0,2.8284271247461903,2,201049,201123,75,37.5,0.282842712474619,Intermitent
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,63,7.875,15.094346150605057,8,201048,201120,73,9.125,1.916742368330801,Lumpy
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,237,6.583333333333333,18.53086228816288,36,201048,201148,101,2.8055555555555554,2.814814524784235,Lumpy
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,453,11.615384615384615,21.733572604099212,39,201048,201148,101,2.58974358974359,1.8711022771741044,Lumpy
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,399,9.731707317073171,16.6238148303028,41,201048,201149,102,2.4878048780487805,1.7082115489784828,Lumpy
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,463,11.871794871794872,16.37742266076829,39,201048,201149,102,2.6153846153846154,1.379523723045277,Lumpy
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,68,22.666666666666668,27.592269448766505,3,201048,201050,3,1.0,1.2173060050926399,Eratic
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,462,11.846153846153847,15.646655034389369,39,201048,201149,102,2.6153846153846154,1.3208215288770246,Lumpy
17013D,ORIGAMI ROSE INCENSE IN TUBE,506,42.166666666666664,63.4290345523438,12,201049,201123,75,6.25,1.5042458787117108,Lumpy
17014A,ORIGAMI VANILLA INCENSE CONES,166,18.444444444444443,29.962940072325644,9,201048,201126,79,8.777777777777779,1.6244967509092219,Lumpy
17021,NAMASTE SWAGAT INCENSE,2427,75.84375,140.05899894502983,32,201048,201149,102,3.1875,1.8466781896336855,Lumpy
17038,PORCELAIN BUDAH INCENSE HOLDER,1525,56.48148148148148,62.29357935204902,27,201049,201149,101,3.740740740740741,1.1029027163969336,Lumpy
17084A,TRANQUILITY MASALA INCENSE,200,28.571428571428573,9.44911182523068,7,201105,201137,33,4.714285714285714,0.3307189138830738,Intermitent
17084J,LOVE POTION MASALA INCENSE,225,32.142857142857146,12.198750911856665,7,201049,201137,89,12.714285714285714,0.37951669503554064,Intermitent
17084N,FAIRY DREAMS INCENSE ,1264,28.727272727272727,33.230249343915155,44,201048,201149,102,2.3181818181818183,1.156749186022363,Lumpy
17084P,DRAGONS BLOOD INCENSE,423,16.26923076923077,15.261868017533613,26,201048,201149,102,3.923076923076923,0.9380817221179053,Lumpy
17084R,ASSORTED INCENSE PACK,4032,212.21052631578948,302.12719524277054,19,201048,201149,102,5.368421052631579,1.4237144617094841,Lumpy
17090A,LAVENDER INCENSE 40 CONES IN TIN,109,12.11111111111111,15.55188448745396,9,201048,201147,100,11.11111111111111,1.28410055400996,Lumpy
17090D,VANILLA INCENSE 40 CONES IN TIN,19,1.9,4.771442828607157,10,201048,201130,83,8.3,2.511285699266925,Lumpy
17091A,LAVENDER INCENSE IN TIN,340,28.333333333333332,37.928960710861304,12,201048,201120,73,6.083333333333333,1.3386692015598107,Lumpy
17091J,VANILLA INCENSE IN TIN,2084,50.829268292682926,46.896642971018935,41,201048,201149,102,2.4878048780487805,0.9226306918482612,Lumpy
17096,ASSORTED LAQUERED INCENSE HOLDERS,2497,131.42105263157896,392.8326355232769,19,201049,201129,81,4.2631578947368425,2.98911496793843,Lumpy
17107D,FLOWER FAIRY 5 DRAWER LINERS,171,6.576923076923077,4.263079421479988,26,201048,201149,102,3.923076923076923,0.6481875143770742,Lumpy
17109D,FLOWER FAIRY INCENSE BOUQUET,75,18.75,31.531730050855124,4,201048,201116,69,17.25,1.68169226937894,Lumpy
17129F,BLUE GLASS GEMS IN BAG,586,15.421052631578947,20.70465619253817,38,201048,201149,102,2.6842105263157894,1.3426227565127142,Lumpy
17136A,check,407,27.133333333333333,27.049865768525322,15,201105,201147,43,2.8666666666666667,0.9969237998228005,Lumpy
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,29,4.833333333333333,3.7638632635454052,6,201048,201104,57,9.5,0.7787303303887045,Lumpy
17165D,ASS COL LARGE SAND FROG P'WEIGHT,26,5.2,4.868264577855234,5,201049,201104,56,11.2,0.9362047265106218,Lumpy
17174,ASSTD RASTA KEY-CHAINS,9,3.0,2.0,3,201102,201147,46,15.333333333333334,0.6666666666666666,Lumpy
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,4,2.0,0.0,2,201145,201148,4,2.0,0.0,Intermitent
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,3050,169.44444444444446,563.0992204098171,18,201049,201129,81,4.5,3.3232085138940026,Lumpy
18094C,WHITE AND BLUE CERAMIC OIL BURNER,125,4.310344827586207,14.911892301773925,29,201049,201140,92,3.1724137931034484,3.45955901401155,Lumpy
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,407,10.175,67.41067689153077,40,201048,201149,102,2.55,6.6251279500275935,Lumpy
18098C,PORCELAIN BUTTERFLY OIL BURNER,91,4.7894736842105265,38.159866857688215,19,201048,201132,85,4.473684210526316,7.967444728528308,Lumpy
18098c,PORCELAIN BUTTERFLY OIL BURNER,52,13.0,13.73559851869101,4,201048,201051,4,1.0,1.05658450143777,Eratic
20615,BLUE POLKADOT PASSPORT COVER,313,7.4523809523809526,10.06855133075837,42,201048,201149,102,2.4285714285714284,1.3510516162678963,Lumpy
20616,CHERRY BLOSSOM PASSPORT COVER,194,5.105263157894737,8.401381719321002,38,201048,201149,102,2.6842105263157894,1.6456314707948352,Lumpy
20617,FIRST CLASS PASSPORT COVER ,93,3.0,2.569046515733026,31,201048,201149,102,3.2903225806451615,0.8563488385776753,Lumpy
20618,QUEEN OF THE SKIES PASSPORT COVER ,148,3.7948717948717947,3.3338731006971396,39,201049,201149,101,2.58974358974359,0.878520614372895,Lumpy
20619,TROPICAL PASSPORT COVER ,262,5.954545454545454,8.192323535167697,44,201048,201149,102,2.3181818181818183,1.37581005934114,Lumpy
20622,VIP PASSPORT COVER ,186,6.0,10.112698288126007,31,201048,201149,102,3.2903225806451615,1.6854497146876677,Lumpy
20652,BLUE POLKADOT LUGGAGE TAG ,235,6.351351351351352,10.651594080533506,37,201048,201149,102,2.7567567567567566,1.6770594935308072,Lumpy
20653,CHERRY BLOSSOM LUGGAGE TAG,73,3.4761904761904763,3.9066487891676114,21,201048,201149,102,4.857142857142857,1.1238304735961622,Lumpy
20654,FIRST CLASS LUGGAGE TAG ,152,5.066666666666666,4.8061263585878224,30,201049,201149,101,3.3666666666666667,0.9485775707739124,Lumpy
20655,QUEEN OF SKIES LUGGAGE TAG,197,4.4772727272727275,4.014442741968208,44,201048,201148,101,2.2954545454545454,0.8966268053126961,Lumpy
20657,TROPICAL LUGGAGE TAG,73,2.7037037037037037,3.048515588519647,27,201048,201145,98,3.6296296296296298,1.1275331628771297,Lumpy
20658,RED RETROSPOT LUGGAGE TAG,344,9.555555555555555,20.167079885573695,36,201048,201139,92,2.5555555555555554,2.1105083601181773,Lumpy
20659,ECONOMY LUGGAGE TAG,159,4.818181818181818,3.652520922720237,33,201048,201149,102,3.090909090909091,0.758070380187219,Lumpy
20661,BLUE POLKADOT PURSE ,44,2.3157894736842106,1.4926721593968975,19,201048,201148,101,5.315789473684211,0.6445629779213875,Lumpy
20662,FIRST CLASS HOLIDAY PURSE ,31,1.9375,1.3889444433333777,16,201048,201143,96,6.0,0.7168745513978724,Lumpy
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,25,2.272727272727273,1.7372915179041826,11,201049,201142,94,8.545454545454545,0.7644082678778402,Lumpy
20664,TROPICAL HOLIDAY PURSE ,41,2.9285714285714284,2.8946711176091973,14,201049,201135,87,6.214285714285714,0.9884242840616771,Lumpy
20665,RED RETROSPOT PURSE ,418,8.708333333333334,9.589352103185348,48,201048,201149,102,2.125,1.1011696195045375,Lumpy
20666,ECONOMY HOLIDAY PURSE,25,2.5,3.7785946829182113,10,201049,201130,82,8.2,1.5114378731672846,Lumpy
20667,CHERRY BLOSSOM PURSE,20,1.8181818181818181,1.2504544628399563,11,201122,201135,14,1.2727272727272727,0.687749954561976,Eratic
20668,DISCO BALL CHRISTMAS DECORATION,12979,282.1521739130435,412.6365614969885,46,201048,201149,102,2.217391304347826,1.4624610392835713,Lumpy
20669,RED HEART LUGGAGE TAG,279,7.54054054054054,8.764177703059815,37,201048,201149,102,2.7567567567567566,1.1622744624129504,Lumpy
20670,VIP HOLIDAY PURSE,14,1.4,0.5163977794943222,10,201049,201146,98,9.8,0.3688555567816587,Intermitent
20674,GREEN POLKADOT BOWL,1570,29.62264150943396,27.089045767257126,53,201048,201149,102,1.9245283018867925,0.9144709717609094,Lumpy
20675,BLUE POLKADOT BOWL,3109,58.660377358490564,49.31334013468849,53,201048,201149,102,1.9245283018867925,0.8406584197936603,Lumpy
20676,RED RETROSPOT BOWL,5054,95.35849056603773,66.14729901446137,53,201048,201149,102,1.9245283018867925,0.6936697364001687,Lumpy
20677,PINK POLKADOT BOWL,3671,69.26415094339623,54.98536551574296,53,201048,201149,102,1.9245283018867925,0.7938502784893426,Lumpy
20679,EDWARDIAN PARASOL RED,1701,32.094339622641506,31.081941424701775,53,201048,201149,102,1.9245283018867925,0.9684555529154582,Lumpy
20682,RED RETROSPOT CHILDRENS UMBRELLA,1225,23.557692307692307,19.307027534480667,52,201048,201149,102,1.9615384615384615,0.8195636177901998,Lumpy
20684,STRAWBERRY DREAM CHILDS UMBRELLA,36,1.5,7.785158678676622,24,201048,201134,87,3.625,5.190105785784414,Lumpy
20685,DOORMAT RED RETROSPOT,4027,75.98113207547169,95.09701333295178,53,201048,201149,102,1.9245283018867925,1.2515872129740364,Lumpy
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,175,4.166666666666667,16.412245081581197,42,201048,201149,102,2.4285714285714284,3.938938819579487,Lumpy
20695,FLORAL BLUE MONSTER,5,1.25,0.5,4,201049,201146,98,24.5,0.4,Intermitent
20696,FLORAL SOFT CAR TOY,54,3.0,2.5205041512504174,18,201048,201145,98,5.444444444444445,0.8401680504168058,Lumpy
20697,LITTLE GREEN MONSTER SOFT TOY,21,2.3333333333333335,0.8660254037844386,9,201048,201147,100,11.11111111111111,0.3711537444790451,Intermitent
20698,LITTLE PINK MONSTER SOFT TOY,17,2.4285714285714284,0.9759000729485332,7,201102,201147,46,6.571428571428571,0.4018412065082196,Intermitent
20699,MOUSEY LONG LEGS SOFT TOY,81,5.0625,9.355702360949,16,201048,201149,102,6.375,1.8480399725331358,Lumpy
20702,PINK PADDED MOBILE,146,5.0344827586206895,3.9684718057340924,29,201048,201143,96,3.310344827586207,0.7882580983992376,Lumpy
20704,MR ROBOT SOFT TOY,212,8.833333333333334,14.848998404713647,24,201050,201149,100,4.166666666666667,1.681018687326073,Lumpy
20705,MRS ROBOT SOFT TOY,142,6.761904761904762,11.031340634323474,21,201050,201149,100,4.761904761904762,1.631395445921077,Lumpy
20707,CRAZY DAISY HEART DECORATION,463,10.28888888888889,10.188278073404264,45,201048,201149,102,2.2666666666666666,0.9902214110220127,Lumpy
20711,JUMBO BAG TOYS ,4668,89.76923076923077,117.0139283455079,52,201048,201148,101,1.9423076923076923,1.3034970595472175,Lumpy
20712,JUMBO BAG WOODLAND ANIMALS,9533,179.8679245283019,118.93405375957931,53,201048,201149,102,1.9245283018867925,0.6612299222970421,Lumpy
20713,JUMBO BAG OWLS,9159,208.1590909090909,617.8794171207518,44,201048,201149,102,2.3181818181818183,2.96830378352583,Lumpy
20716,PARTY FOOD SHOPPER BAG,322,12.384615384615385,27.610254505276725,26,201049,201127,79,3.0384615384615383,2.2293994321030897,Lumpy
20717,STRAWBERRY SHOPPER BAG,2835,53.490566037735846,61.67583451510793,53,201048,201149,102,1.9245283018867925,1.1530226558379966,Lumpy
20718,RED RETROSPOT SHOPPER BAG,4741,89.45283018867924,58.09228931944803,53,201048,201149,102,1.9245283018867925,0.6494181256972675,Lumpy
20719,WOODLAND CHARLOTTE BAG,13198,249.0188679245283,119.53652331562124,53,201048,201149,102,1.9245283018867925,0.4800299845224978,Intermitent
20723,STRAWBERRY CHARLOTTE BAG,9723,183.45283018867926,96.72434385282266,53,201048,201149,102,1.9245283018867925,0.5272436721381879,Lumpy
20724,RED RETROSPOT CHARLOTTE BAG,17548,331.0943396226415,159.99318064204917,53,201048,201149,102,1.9245283018867925,0.48322535753525225,Intermitent
20725,LUNCH BAG RED RETROSPOT,18979,358.0943396226415,167.5196043809779,53,201048,201149,102,1.9245283018867925,0.46780857959807315,Intermitent
20726,LUNCH BAG WOODLAND,9852,185.88679245283018,114.19360422231631,53,201048,201149,102,1.9245283018867925,0.6143180089101467,Lumpy
20727,LUNCH BAG  BLACK SKULL.,12112,228.52830188679246,110.39641921687095,53,201048,201149,102,1.9245283018867925,0.4830754803908653,Intermitent
20728,LUNCH BAG CARS BLUE,11603,218.9245283018868,117.34561855682878,53,201048,201149,102,1.9245283018867925,0.5360094616488775,Lumpy
20731,POSY CANDY BAG,87,7.25,14.277286475059226,12,201049,201126,78,6.5,1.9692808931116175,Lumpy
20733,GOLD MINI TAPE MEASURE ,936,19.102040816326532,45.015851327596806,49,201048,201149,102,2.0816326530612246,2.356599054542995,Lumpy
20734,SILVER MINI TAPE MEASURE ,149,8.764705882352942,9.031399474643353,17,201048,201118,71,4.176470588235294,1.0304281279794427,Lumpy
20735,BLACK MINI TAPE MEASURE ,152,4.108108108108108,85.03227615434028,37,201048,201149,102,2.7567567567567566,20.69864616914862,Lumpy
20748,KENSINGTON COFFEE SET,109,4.541666666666667,9.31095272137659,24,201048,201148,101,4.208333333333333,2.0501180303948456,Lumpy
20749,ASSORTED COLOUR MINI CASES,1762,33.88461538461539,38.9059468442701,52,201048,201149,102,1.9615384615384615,1.1481891236674489,Lumpy
20750,RED RETROSPOT MINI CASES,1742,33.5,20.029879640960715,52,201048,201149,102,1.9615384615384615,0.5979068549540512,Lumpy
20751,FUNKY WASHING UP GLOVES ASSORTED,967,18.596153846153847,19.424322347061015,52,201048,201148,101,1.9423076923076923,1.0445343971532293,Lumpy
20752,BLUE POLKADOT WASHING UP GLOVES,362,7.869565217391305,10.061165595501182,46,201048,201147,100,2.1739130434782608,1.278490655781918,Lumpy
20754,RETROSPOT RED WASHING UP GLOVES,1514,30.28,27.97231867838092,50,201048,201146,99,1.98,0.9237885957193169,Lumpy
20755,BLUE PAISLEY POCKET BOOK,307,10.964285714285714,9.647422003973462,28,201048,201149,102,3.642857142857143,0.879895166486179,Lumpy
20757,RED DAISY POCKET BOOK ,167,7.590909090909091,9.94106007046911,22,201048,201147,100,4.545454545454546,1.30960072784623,Lumpy
20758,ABSTRACT CIRCLES POCKET BOOK,108,3.857142857142857,10.50824820906322,28,201049,201149,101,3.607142857142857,2.7243606467941683,Lumpy
20759,CHRYSANTHEMUM POCKET BOOK ,12,0.8,14.173415759290855,15,201048,201149,102,6.8,17.716769699113566,Lumpy
20760,GARDEN PATH POCKET BOOK,100,6.666666666666667,9.641181512261914,15,201048,201147,100,6.666666666666667,1.4461772268392872,Lumpy
20761,BLUE PAISLEY SKETCHBOOK,123,3.4166666666666665,2.852317353611671,36,201048,201149,102,2.8333333333333335,0.8348245913009769,Lumpy
20762,GREEN FERN SKETCHBOOK ,106,3.7857142857142856,2.846142846121589,28,201049,201149,101,3.607142857142857,0.7518113178434387,Lumpy
20763,DAISY SKETCHBOOK ,73,3.65,4.793361637668671,20,201049,201149,101,5.05,1.3132497637448413,Lumpy
20764,ABSTRACT CIRCLES SKETCHBOOK ,144,4.363636363636363,2.826417584794639,33,201048,201149,102,3.090909090909091,0.6477206965154382,Lumpy
20765,CHRYSANTHEMUM SKETCHBOOK ,104,3.25,2.094539752354571,32,201048,201149,102,3.1875,0.6444737699552525,Lumpy
20766,GARDEN PATH SKETCHBOOK,124,3.875,4.194850914341103,32,201048,201148,101,3.15625,1.0825421714428654,Lumpy
20767,BLUE PAISLEY JOURNAL ,253,6.837837837837838,5.965239650180376,37,201048,201149,102,2.7567567567567566,0.8723868263109641,Lumpy
20768,GREEN FERN JOURNAL ,177,6.555555555555555,7.682814655166492,27,201048,201149,102,3.7777777777777777,1.1719547779067532,Lumpy
20769,DAISY JOURNAL ,80,4.2105263157894735,2.9359637329053765,19,201049,201149,101,5.315789473684211,0.697291386565027,Lumpy
20770,ABSTRACT CIRCLE JOURNAL ,185,5.285714285714286,6.5689619046088,35,201048,201147,100,2.857142857142857,1.2427765765476109,Lumpy
20771,CHRYSANTHEMUM  JOURNAL,103,4.12,3.2827833718761683,25,201048,201149,102,4.08,0.796792080552468,Lumpy
20772,GARDEN PATH JOURNAL,246,8.482758620689655,10.500410501006863,29,201048,201149,102,3.5172413793103448,1.2378532704438985,Lumpy
20773,BLUE PAISLEY NOTEBOOK,43,2.263157894736842,3.9978064160675504,19,201048,201138,91,4.7894736842105265,1.7664726024484525,Lumpy
20774,GREEN FERN NOTEBOOK,69,3.2857142857142856,6.761234037828133,21,201048,201143,96,4.571428571428571,2.0577668810781273,Lumpy
20775,DAISY NOTEBOOK ,71,2.5357142857142856,9.704837063746224,28,201049,201149,101,3.607142857142857,3.8272596871111872,Lumpy
20777,CHRYSANTHEMUM NOTEBOOK,169,5.633333333333334,4.90940921604369,30,201048,201149,102,3.4,0.8714927602444419,Lumpy
